appName,coreF,memF,arg,time/s,power/W
caffe,-100,-1000,time -model=vgg.train_val.prototxt.txt -gpu=1 -iterations=500,0.24378502994011972,196.85617935377874
caffe,-100,-500,time -model=vgg.train_val.prototxt.txt -gpu=1 -iterations=500,0.22753019161676649,208.1476073405185
caffe,-100,0,time -model=vgg.train_val.prototxt.txt -gpu=1 -iterations=500,0.2171154311377245,215.39528354122299
caffe,-100,500,time -model=vgg.train_val.prototxt.txt -gpu=1 -iterations=500,0.20883823952095806,227.3845828337015
caffe,-200,-1000,time -model=vgg.train_val.prototxt.txt -gpu=1 -iterations=500,0.24898849700598799,186.03214015957448
caffe,-200,-500,time -model=vgg.train_val.prototxt.txt -gpu=1 -iterations=500,0.23426294610778448,201.10850293870701
caffe,-200,0,time -model=vgg.train_val.prototxt.txt -gpu=1 -iterations=500,0.22441588023952094,210.35939715471252
caffe,-200,500,time -model=vgg.train_val.prototxt.txt -gpu=1 -iterations=500,0.21604394610778438,219.90781623277178
caffe,0,-1000,time -model=vgg.train_val.prototxt.txt -gpu=1 -iterations=500,0.23887779640718559,200.43332472939215
caffe,0,-500,time -model=vgg.train_val.prototxt.txt -gpu=1 -iterations=500,0.22183171257485029,210.64128970850686
caffe,0,0,time -model=vgg.train_val.prototxt.txt -gpu=1 -iterations=500,0.21066384431137727,220.45364917213368
caffe,0,500,time -model=vgg.train_val.prototxt.txt -gpu=1 -iterations=500,0.20285285628742514,229.63984192111963
caffe,100,-1000,time -model=vgg.train_val.prototxt.txt -gpu=1 -iterations=500,0.23537431137724552,202.49266348314606
caffe,100,-500,time -model=vgg.train_val.prototxt.txt -gpu=1 -iterations=500,0.21717911377245508,214.90196331109766
caffe,100,0,time -model=vgg.train_val.prototxt.txt -gpu=1 -iterations=500,0.20544048502994011,225.37465058341218
caffe,100,500,time -model=vgg.train_val.prototxt.txt -gpu=1 -iterations=500,0.19682574251497004,235.04315906084656
caffe,200,-1000,time -model=vgg.train_val.prototxt.txt -gpu=1 -iterations=500,0.23051137724550899,206.33736705614135
caffe,200,-500,time -model=vgg.train_val.prototxt.txt -gpu=1 -iterations=500,0.21212928742514969,218.70614311926605
caffe,200,0,time -model=vgg.train_val.prototxt.txt -gpu=1 -iterations=500,0.1993174011976048,231.08712369451695
caffe,200,500,time -model=vgg.train_val.prototxt.txt -gpu=1 -iterations=500,0.19130660479041914,240.25528902522151
