appName,coreF,memF,arg,time/s,power/W
caffe,-100,-1000,time --model=ffn26752l6-b128.prototxt -gpu=1 -iterations=1000,0.021258781381381382,132.5857814645309
caffe,-100,-500,time --model=ffn26752l6-b128.prototxt -gpu=1 -iterations=1000,0.019319205405405406,140.0286980392157
caffe,-100,0,time --model=ffn26752l6-b128.prototxt -gpu=1 -iterations=1000,0.017697142942942942,148.32415299026425
caffe,-100,500,time --model=ffn26752l6-b128.prototxt -gpu=1 -iterations=1000,0.016479118318318317,154.5071912408759
caffe,-200,-1000,time --model=ffn26752l6-b128.prototxt -gpu=1 -iterations=1000,0.021349456156156157,112.69760741548528
caffe,-200,-500,time --model=ffn26752l6-b128.prototxt -gpu=1 -iterations=1000,0.019397087987987987,140.09831719745225
caffe,-200,0,time --model=ffn26752l6-b128.prototxt -gpu=1 -iterations=1000,0.017884072372372373,148.28737580437581
caffe,-200,500,time --model=ffn26752l6-b128.prototxt -gpu=1 -iterations=1000,0.016743208108108108,155.82387045123727
caffe,0,-1000,time --model=ffn26752l6-b128.prototxt -gpu=1 -iterations=1000,0.021305567867867869,133.98645853658539
caffe,0,-500,time --model=ffn26752l6-b128.prototxt -gpu=1 -iterations=1000,0.019169257057057056,143.83704073587384
caffe,0,0,time --model=ffn26752l6-b128.prototxt -gpu=1 -iterations=1000,0.017507297897897896,152.23021178120618
caffe,0,500,time --model=ffn26752l6-b128.prototxt -gpu=1 -iterations=1000,0.016092237537537538,162.03559467455622
caffe,100,-1000,time --model=ffn26752l6-b128.prototxt -gpu=1 -iterations=1000,0.021191152852852852,133.43404039167686
caffe,100,-500,time --model=ffn26752l6-b128.prototxt -gpu=1 -iterations=1000,0.01901977027027027,144.907637816245
caffe,100,0,time --model=ffn26752l6-b128.prototxt -gpu=1 -iterations=1000,0.017314514114114114,154.46708603667136
caffe,100,500,time --model=ffn26752l6-b128.prototxt -gpu=1 -iterations=1000,0.016001000000000001,164.29196556886228
