appName,coreF,memF,kernel,count,aver_time,std_time,coeff. of var.
caffe,1700,3500,(12544 1 1).*(128 1 1).*maxwell_scudnn_128x64_relu_medium_nn,51,0.00403943921569,9.50892441051e-05,0.023540
caffe,1700,3500,"(128 64 1).*(128 1 1).*void add_tensor_kernel_v3<int=2,",102,0.00205290803922,0.00122763222274,0.597997
caffe,1700,3500,(1 1 1).*(1 1 1).*caffe::sync_conv_groups(void),5814,1.3907624699e-06,3.09475243287e-07,0.222522
caffe,1700,3500,"(32768 1 1).*(128 1 1).*void cudnn::detail::activation_fw_4d_kernel<float,",51,0.00324260588235,4.9878445093e-06,0.001538
caffe,1700,3500,"(50176 1 1).*(512 1 1).*void caffe::MaxPoolForward<float>(int,",102,0.00230721372549,0.000503231027333,0.218112
caffe,1700,3500,(25 1 1).*(128 1 1).*cudnn::maxwell::gemm::computeOffsetsKernel(cudnn::maxwell::gemm::ComputeOffsetsParams),102,1.95579411765e-06,1.14331761685e-07,0.058458
caffe,1700,3500,(3136 1 1).*(128 1 1).*maxwell_scudnn_128x64_relu_interior_nn,51,0.000840621764706,4.9883026725e-06,0.005934
caffe,1700,3500,"(8192 1 1).*(128 1 1).*void cudnn::detail::activation_fw_4d_kernel<float,",51,0.000815526078431,1.81934601311e-06,0.002231
caffe,1700,3500,"(6 16 1).*(32 4 1).*void cudnn::winograd::generateWinogradTilesKernel<int=0,",51,1.01605294118e-05,3.60625945634e-07,0.035493
caffe,1700,3500,(768 7 4).*(256 1 1).*maxwell_scudnn_winograd_128x128_ldg1_ldg4_tile148n_nt,51,0.00658174313725,0.000148401132672,0.022547
caffe,1700,3500,"(128 192 1).*(128 1 1).*void add_tensor_kernel_v3<int=2,",51,0.00247172352941,4.81055164727e-06,0.001946
caffe,1700,3500,"(24576 1 1).*(128 1 1).*void cudnn::detail::activation_fw_4d_kernel<float,",51,0.00243595686275,4.72134306672e-06,0.001938
caffe,1700,3500,"(37632 1 1).*(512 1 1).*void caffe::MaxPoolForward<float>(int,",102,0.0018193372549,0.000461205332589,0.253502
caffe,1700,3500,(7 1 1).*(128 1 1).*cudnn::maxwell::gemm::computeOffsetsKernel(cudnn::maxwell::gemm::ComputeOffsetsParams),969,2.14209494324e-06,3.7731397287e-07,0.176143
caffe,1700,3500,(784 1 1).*(128 1 1).*maxwell_scudnn_128x64_relu_interior_nn,102,0.000504988823529,5.07478273329e-05,0.100493
caffe,1700,3500,"(32 64 1).*(32 1 4).*void add_tensor_kernel_v3<int=2,",459,9.30583899782e-05,7.53584804044e-05,0.809798
caffe,1700,3500,"(2048 1 1).*(128 1 1).*void cudnn::detail::activation_fw_4d_kernel<float,",306,0.000200812908497,1.09335717202e-05,0.054447
caffe,1700,3500,"(1568 1 1).*(8 32 1).*void cudnn::detail::implicit_convolve_sgemm<float,",51,0.00081586372549,1.96877510402e-05,0.024131
caffe,1700,3500,"(32 96 1).*(32 1 4).*void add_tensor_kernel_v3<int=2,",153,0.000244741111111,0.000115917004717,0.473631
caffe,1700,3500,"(3072 1 1).*(128 1 1).*void cudnn::detail::activation_fw_4d_kernel<float,",102,0.000310324901961,2.21863044891e-06,0.007149
caffe,1700,3500,"(4 24 1).*(32 4 1).*void cudnn::winograd::generateWinogradTilesKernel<int=0,",51,1.02145686275e-05,3.19746667793e-07,0.031303
